Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Make_Model
20001211X12276,Accident,ANC93LA079,1993-05-31,"KAHILTNA GLACIE, AK",United States,,,,,Non-Fatal,Substantial,,N333DG,Cessna,A185F,No,1.0,Reciprocating,,NSCH,Unknown,Doug Geeting Aviation (dba: Doug Geeting Aviation),0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,30-06-1994,Cessna A185F
20001211X12505,Accident,ANC93LA090,1993-06-12,"KIVALINA, AK",United States,,,KVL,KIVALINA,Non-Fatal,Substantial,,N222JA,Cessna,402,No,2.0,Reciprocating,,NSCH,Unknown,Alaska Island Air,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,02-12-1994,Cessna 402
20001211X12497,Incident,ANC93IA093,1993-06-13,"PORTAGE, AK",United States,,,,,Incident,Minor,,N4672U,Cessna,206,No,1.0,Reciprocating,,NSCH,Unknown,Jim Air,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,30-06-1994,Cessna 206
20001211X12655,Accident,LAX93LA258,1993-06-17,"STONEYFORD, CA",United States,,,,,Non-Fatal,Substantial,,N38EA,Bell,206B3,No,1.0,Turbo Shaft,,NSCH,Unknown,"Smith Helicopters, Inc.",0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,30-06-1994,Bell 206B3
20001211X12512,Accident,ANC93LA098,1993-06-19,"GRAYLING, AK",United States,,,KGX,GRAYLING,Non-Fatal,Substantial,,N9869M,Cessna,207,No,1.0,Reciprocating,,NSCH,Unknown,"Markair Express, Inc.",0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-06-1994,Cessna 207
20001211X12802,Accident,BFO93LA121,1993-07-12,"CINCINNATI, OH",United States,,,,,Non-Fatal,Substantial,,N37167,Cessna,404,No,2.0,Reciprocating,,NSCH,Unknown,Bowman Aviation,0.0,0.0,0.0,8.0,VMC,Cruise,Probable Cause,26-09-1994,Cessna 404
20001211X12749,Accident,ANC93LA121,1993-07-19,"KELLY RIVER BAR, AK",United States,,,,,Non-Fatal,Substantial,,N756AH,Cessna,206G,No,1.0,Reciprocating,,NSCH,Unknown,(dba: Northwestern Aviation),0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,18-11-1994,Cessna 206G
20001211X12830,Incident,CHI93IA312,1993-07-20,"CHICAGO, IL",United States,,,,,Incident,Minor,,N611AW,British Aerospace,146-300A,No,4.0,Turbo Fan,,SCHD,Unknown,"Air Wisconsin, Inc. (dba: United Express)",0.0,0.0,0.0,8.0,VMC,Takeoff,Probable Cause,20-10-1994,British Aerospace 146-300A
20001211X12752,Accident,ANC93LA125,1993-07-23,"CORDOVA, AK",United States,,,,,Non-Fatal,Substantial,,N3115Y,Hughes,369D,No,1.0,Turbo Shaft,,NSCH,Unknown,"Soloy Helicopters, Inc.",0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,17-08-1994,Hughes 369D
20001211X12829,Incident,CHI93IA280,1993-07-24,"DANVILLE, IL",United States,,,,,Incident,Minor,,N915CA,Canadair,CL600-2B19,No,2.0,Turbo Fan,,SCHD,Unknown,Comair,0.0,0.0,0.0,21.0,VMC,Climb,Probable Cause,13-09-1994,Canadair CL600-2B19
20001211X12753,Accident,ANC93LA126,1993-07-24,"EGEGIK, AK",United States,,,,,Non-Fatal,Substantial,,N9993M,Cessna,207,No,1.0,Reciprocating,,NSCH,Unknown,"Markair Express, Inc.",0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,18-08-1994,Cessna 207
